,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2021,canonical glycolysis (GO:0061621),7/24,5.5446477819776495e-08,3.13083622159047e-05,0,0,26.734808774995148,446.6811118334856,GPI;PGAM1;PGK1;ALDOC;ENO2;PFKP;HK1
1,GO_Biological_Process_2021,glucose catabolic process to pyruvate (GO:0061718),7/24,5.5446477819776495e-08,3.13083622159047e-05,0,0,26.734808774995148,446.6811118334856,GPI;PGAM1;PGK1;ALDOC;ENO2;PFKP;HK1
2,GO_Biological_Process_2021,glycolytic process through glucose-6-phosphate (GO:0061620),7/25,7.599117042695318e-08,3.13083622159047e-05,0,0,25.24825815914925,413.8858258354256,GPI;PGAM1;PGK1;ALDOC;ENO2;PFKP;HK1
3,GO_Biological_Process_2021,glycolytic process (GO:0006096),6/29,4.646916621640119e-06,0.0014358972360867,0,0,16.876716247139587,207.23437405089123,GPI;PGAM1;PGK1;ALDOC;ENO2;HK1
4,GO_Biological_Process_2021,pyruvate metabolic process (GO:0006090),7/55,2.1545004070321945e-05,0.0053259250061835,0,0,9.453657865786578,101.58301945970302,GPI;PGAM1;PGK1;ALDOC;ENO2;PCK1;HK1
5,GO_Biological_Process_2021,carbohydrate catabolic process (GO:0016052),6/41,3.762140398009013e-05,0.0066428650456273,0,0,11.083646616541351,112.91949805644953,GPI;PGAM1;PGK1;ALDOC;ENO2;HK1
6,GO_Biological_Process_2021,gluconeogenesis (GO:0006094),6/41,3.762140398009013e-05,0.0066428650456273,0,0,11.083646616541351,112.91949805644953,GPI;PGAM1;PGK1;ALDOC;ENO2;PCK1
7,GO_Biological_Process_2021,hexose biosynthetic process (GO:0019319),6/44,5.680405533789755e-05,0.0087762265497051,0,0,10.207063711911358,99.78326310883764,GPI;PGAM1;PGK1;ALDOC;ENO2;PCK1
8,GO_Biological_Process_2021,glucose metabolic process (GO:0006006),6/62,0.00039172504968191954,0.0537969068229836,0,0,6.919877819548872,54.28609804799004,GPI;PGAM1;PGK1;ALDOC;ENO2;PCK1
9,GO_Biological_Process_2021,histone H4-K12 acetylation (GO:0043983),2/6,0.003447238059301,0.4260786241296084,0,0,31.95779220779221,181.20649593388407,JADE1;JADE2
10,GO_Biological_Process_2021,hydrogen peroxide catabolic process (GO:0042744),3/21,0.0039878362111445,0.4480877779067885,0,0,10.679695982627578,59.000049854304194,PXDNL;HBQ1;MPO
